地区名: 稲村ガ崎, 燃やすごみ: 月・木, 容器包装プラスチック: 火, ペットボトル: 水, 飲食用カン・ビン: 火, 紙類・布類: 金, 植木剪定材: 水, 製品プラスチック: 第2金曜日, 燃えないごみ・危険有害ごみ: 第3金曜日
地区名: 高野, 燃やすごみ: 月・木, 容器包装プラスチック: 金, ペットボトル: 水, 飲食用カン・ビン: 火, 紙類・布類: 金, 植木剪定材: 水, 製品プラスチック: 第4火曜日, 燃えないごみ・危険有害ごみ: 第2火曜日
地区名: 手広, 燃やすごみ: 月・木, 容器包装プラスチック: 火, ペットボトル: 水, 飲食用カン・ビン: 金, 紙類・布類: 火, 植木剪定材: 水, 製品プラスチック: 第2金曜日, 燃えないごみ・危険有害ごみ: 第3金曜日
地区名: 寺分, 燃やすごみ: 火・金, 容器包装プラスチック: 木, ペットボトル: 水, 飲食用カン・ビン: 木, 紙類・布類: 月, 植木剪定材: 月, 製品プラスチック: 第4水曜日, 燃えないごみ・危険有害ごみ: 第2水曜日
地区名: 常盤, 燃やすごみ: 火・金, 容器包装プラスチック: 木, ペットボトル: 水, 飲食用カン・ビン: 木, 紙類・布類: 月, 植木剪定材: 月, 製品プラスチック: 第3水曜日, 燃えないごみ・危険有害ごみ: 第1水曜日 
地区名: 二階堂, 燃やすごみ: 月・木, 容器包装プラスチック: 金, ペットボトル: 水, 飲食用カン・ビン: 金, 紙類・布類: 火, 植木剪定材: 水, 製品プラスチック: 第2火曜日, 燃えないごみ・危険有害ごみ: 第3火曜日
地区名: 西鎌倉, 燃やすごみ: 火・金, 容器包装プラスチック: 木, ペットボトル: 水, 飲食用カン・ビン: 木, 紙類・布類: 月, 植木剪定材: 月, 製品プラスチック: 第3水曜日, 燃えないごみ・危険有害ごみ: 第1水曜日
地区名: 西御門, 燃やすごみ: 月・木, 容器包装プラスチック: 金, ペットボトル: 水, 飲食用カン・ビン: 金, 紙類・布類: 火, 植木剪定材: 水, 製品プラスチック: 第4火曜日, 燃えないごみ・危険有害ごみ: 第2火曜日
地区名: 長谷, 燃やすごみ: 月・木, 容器包装プラスチック: 火, ペットボトル: 水, 飲食用カン・ビン: 火, 紙類・布類: 金, 植木剪定材: 水, 製品プラスチック: 第2金曜日, 燃えないごみ・危険有害ごみ: 第3金曜日
地区名: 笛田, 燃やすごみ: 火・金, 容器包装プラスチック: 木, ペットボトル: 水, 飲食用カン・ビン: 木, 紙類・布類: 月, 植木剪定材: 月, 製品プラスチック: 第4水曜日, 燃えないごみ・危険有害ごみ: 第2水曜日
地区名: 山崎（うぐいす山自治会）, 燃やすごみ: 火・金, 容器包装プラスチック: 木, ペットボトル: 水, 飲食用カン・ビン: 木, 紙類・布類: 月, 植木剪定材: 月, 製品プラスチック: 第3水曜日, 燃えないごみ・危険有害ごみ: 第1水曜日
地区名: 山崎（うぐいす山自治会除く）, 燃やすごみ: 月・木, 容器包装プラスチック: 金, ペットボトル: 水, 飲食用カン・ビン: 火, 紙類・布類: 金, 植木剪定材: 水, 製品プラスチック: 第4火曜日, 燃えないごみ・危険有害ごみ: 第2火曜日
地区名: 山ノ内, 燃やすごみ: 月・木, 容器包装プラスチック: 金, ペットボトル: 水, 飲食用カン・ビン: 金, 紙類・布類: 火, 植木剪定材: 水, 製品プラスチック: 第2火曜日, 燃えないごみ・危険有害ごみ: 第3火曜日
地区名: 雪ノ下, 燃やすごみ: 月・木, 容器包装プラスチック: 金, ペットボトル: 水, 飲食用カン・ビン: 金, 紙類・布類: 火, 植木剪定材: 水, 製品プラスチック: 第2火曜日, 燃えないごみ・危険有害ごみ: 第3火曜日
